462,Africa,"Africa, Unspecified",,
406,Burundi,Central,,
407,Cameroon,Central,,
409,Central African Republic,Central,,count
410,Chad,Central,,
412,Congo,Central,,
459,Democratic Republic of Congo (Zaire),Central,,
415,Equatorial Guinea,Central,,
420,Gambia,Central,,
442,Rwanda,Central,,
404,British Indian Ocean Territory,East,,
411,Comoros,East,,
413,Djibouti,East,,
416,Ethiopia,East,,
419,Gabon,East,,
427,Kenya,East,,
431,Madagascar,East,,
445,Mauritius,East,,
440,Nigeria,East,,
446,Seychelles,East,,
448,Somalia,East,,
463,South Sudan,East,,
450,St Helena,East,,
451,Sudan,East,,
453,Tanzania,East,,
455,Tromelin Island,East,,
457,Uganda,East,,
400,Algeria,North,,
414,Egypt,North,,
430,Libya,North,,
434,Mauritania,North,,
435,Mayotte,North,,
441,Reunion,North,,
456,Tunisia,North,,
401,Angola,South,,
403,Botswana,South,,
418,Europa Island,South,,
426,Juan De Nova Island,South,,
428,Lesotho,South,,
432,Malawi,South,,
436,Morocco,South,,
437,Mozambique,South,,
449,South Africa,South,,
460,Zambia,South,,
461,Zimbabwe,South,,
452,Swaziland,South,,
402,Benin,West,,
405,Burkina Faso,West,,
408,Cabo Verde,West,,
421,Ghana,West,,
422,Glorioso Islands,West,,
423,Guinea,West,,
424,Guinea-Bissau,West,,
425,Ivory Coast,West,,
429,Liberia,West,,
433,Mali,West,,
438,Namibia,West,,
439,Niger,West,,
443,Sao Tome & Principe,West,,
447,Sierra Leone,West,,
454,Togo,West,,
458,Western Sahara,West,,
