"","DATA_YEAR","COUNTY","HRACE","BIN_GRPIP","count","count_moe","share","share_moe"
"1",2020,"Region","American Indian or Alaskan Native Alone","(0,25]",692,202.698779686139,0.135235489544655,0.0368484486290289
"2",2020,"Region","American Indian or Alaskan Native Alone","(25,50]",1087,281.677130794284,0.212429157709595,0.0539457767154478
"3",2020,"Region","American Indian or Alaskan Native Alone","(50,75]",239,119.335084808492,0.0467070549149892,0.0227621274681175
"4",2020,"Region","American Indian or Alaskan Native Alone","(75,100]",109,123.33441665853,0.0213015438733633,0.023741534521487
"5",2020,"Region","Asian alone","(0,25]",32283,1898.9032401389,0.186529305722474,0.0105500431761758
"6",2020,"Region","Asian alone","(25,50]",20088,1596.7503291224,0.116067301469908,0.0088221317013264
"7",2020,"Region","Asian alone","(50,75]",5093,945.769928729366,0.0294270592585745,0.00542813921207399
"8",2020,"Region","Asian alone","(75,100]",1786,438.768404972942,0.0103194046408431,0.00252453210035266
"9",2020,"Region","Black or African American alone","(0,25]",14038,1511.5775121599,0.198694993701434,0.0198552445260173
"10",2020,"Region","Black or African American alone","(25,50]",20138,1802.52123852051,0.285034889810477,0.0243772073431848
"11",2020,"Region","Black or African American alone","(50,75]",6454,980.300757849345,0.0913504408996334,0.0127262821767879
"12",2020,"Region","Black or African American alone","(75,100]",2900,720.366329854124,0.0410468358551188,0.0101308945675195
"13",2020,"Region","Hispanic or Latino","(0,25]",19169,1496.71787431032,0.229513888888889,0.0166361915057699
"14",2020,"Region","Hispanic or Latino","(25,50]",22397,1764.75788604485,0.268163314176245,0.0198712069966485
"15",2020,"Region","Hispanic or Latino","(50,75]",5920,792.932659640779,0.0708812260536398,0.00891969787918048
"16",2020,"Region","Hispanic or Latino","(75,100]",2213,536.835990048404,0.0264966475095785,0.006415050567887
"17",2020,"Region","Multiple Races","(0,25]",52285,2389.23958900735,0.202319408113672,0.00818147989413613
"18",2020,"Region","Multiple Races","(25,50]",33935,1742.33788130524,0.131313170399492,0.00674038664606398
"19",2020,"Region","Multiple Races","(50,75]",7105,833.166192575797,0.0274931508969616,0.00320389773221203
"20",2020,"Region","Multiple Races","(75,100]",2396,540.430570921233,0.00927144117510486,0.00208976156945432
"21",2020,"Region","Native Hawaiian and Other Pacific Islander alone","(0,25]",1818,393.74940056621,0.290090952608904,0.0639146373118226
"22",2020,"Region","Native Hawaiian and Other Pacific Islander alone","(25,50]",1768,560.080829947785,0.282112653582256,0.0757369150001597
"23",2020,"Region","Native Hawaiian and Other Pacific Islander alone","(50,75]",520,250.951476024251,0.0829743098771342,0.0393753860053442
"24",2020,"Region","Native Hawaiian and Other Pacific Islander alone","(75,100]",79,85.8730966455735,0.0126057124621031,0.0137383967183588
"25",2020,"Region","Some Other Race alone","(0,25]",551,235.095478728856,0.123238649071796,0.0518131463099645
"26",2020,"Region","Some Other Race alone","(25,50]",447,210.874307405502,0.0999776336390069,0.050350585944576
"27",2020,"Region","Some Other Race alone","(50,75]",453,293.436601319178,0.101319615298591,0.062838728302262
"28",2020,"Region","Some Other Race alone","(75,100]",188,195.370674197153,0.0420487586669649,0.0415234647241467
"29",2020,"Region","Two or More Races","(0,25]",6684,961.442340932362,0.190944150835595,0.0245625043396688
"30",2020,"Region","Two or More Races","(25,50]",7275,1028.46914220299,0.207827453220968,0.0244649252560003
"31",2020,"Region","Two or More Races","(50,75]",2537,681.749208400714,0.0724753606627625,0.019175789800362
"32",2020,"Region","Two or More Races","(75,100]",1445,450.710187520762,0.0412798171689759,0.0127445850347021
"33",2020,"Region","White alone","(0,25]",138829,3087.96751794526,0.13895447589173,0.0030024307308568
"34",2020,"Region","White alone","(25,50]",116848,3317.01535982482,0.116953609109025,0.00326871853476853
"35",2020,"Region","White alone","(50,75]",31166,1927.86441554055,0.0311941683340056,0.0019161322775567
"36",2020,"Region","White alone","(75,100]",13211,1243.05053860151,0.0132229403151045,0.00124027747083647
