COUNTY,POBP,count,count_moe
King,1,284,1891.714346
King,10,381,3381.799946
King,11,88,1039.292266
King,12,2393,10267.01639
King,13,2632,15605.27258
King,17,3655,8087.207524
King,18,1363,8423.862389
King,19,93,912.3734135
King,20,105,835.4112701
King,21,360,3311.802741
King,22,7995,22337.39768
King,24,1992,6725.499495
King,25,202,1832.306457
King,26,801,3452.594702
King,27,440,3791.532395
King,28,2409,8556.717188
King,29,450,2652.645539
King,31,67,718.9786729
King,32,224,2415.576444
King,34,802,3289.928545
King,36,857,3297.240396
King,37,55,785.6055694
King,39,675,3873.898826
King,4,217,1869.201202
King,40,2044,17728.8396
King,41,549,3993.764628
King,42,1445,6060.570619
King,45,132,1040.026061
King,46,76,859.500615
King,47,1599,9385.27275
King,48,4130,10799.32921
King,49,87,890.4021227
King,5,801,3991.830887
King,51,666,3754.248538
King,53,28974,31888.24429
King,54,1037,7377.15935
King,6,5393,8652.833702
King,8,41,453.2307869
King,Africa,75,862.9404087
King,Bermuda,32,388.5988274
King,Brazil,16,206.0863983
King,Canada,186,1838.647856
King,Congo,511,4454.222729
King,Democratic Republic of Congo (Zaire),530,4207.699418
King,"Eastern Africa, Not Specified",238,1912.284588
King,England,159,1581.975298
King,Eritrea,4924,15199.274
King,Ethiopia,15076,28122.06027
King,Gambia,1428,8601.940115
King,Germany,537,4319.696723
King,Ghana,440,1923.554744
King,Greece,94,983.2495398
King,Haiti,2346,10218.7798
King,Ivory Coast (2017 or later),763,7207.086383
King,Jamaica,1585,8873.152705
King,Kenya,6193,14647.24649
King,Liberia,2988,15053.63472
King,Mexico,805,5121.779632
King,Morocco,1331,6209.124508
King,Nigeria,788,4105.420274
King,"Other Africa, Not Specified",141,1359.131513
King,Peru,11,157.1444315
King,Russia,161,1682.774417
King,Saudi Arabia,149,1550.736012
King,Sierra Leone,495,3939.538271
King,Somalia,5966,18164.6759
King,South Sudan (2017 or later),107,1110.272396
King,Togo,128,1180.922861
King,Trinidad and Tobago,256,1841.677417
King,Uganda,434,2791.377253
King,"Western Africa, Not Specified",1927,9369.262677
King,Zimbabwe,75,860.7415146
Kitsap,11,585,6479.880051
Kitsap,13,765,4619.651658
Kitsap,16,196,1777.279232
Kitsap,17,1197,6760.140529
Kitsap,2,131,1503.390735
Kitsap,22,214,1747.351336
Kitsap,24,103,1032.100648
Kitsap,26,305,2576.248123
Kitsap,28,222,2273.347178
Kitsap,36,314,2130.624073
Kitsap,37,78,986.8079961
Kitsap,39,486,4668.687959
Kitsap,45,63,624.1208911
Kitsap,47,116,1344.619921
Kitsap,48,1345,7203.31223
Kitsap,51,228,1754.10223
Kitsap,53,1295,4902.596138
Kitsap,6,1606,4854.966285
Kitsap,8,47,531.000802
Kitsap,Kenya,306,2165.897794
Pierce,1,651,3026.832743
Pierce,12,2137,9675.930195
Pierce,13,2426,11196.18834
Pierce,15,299,2149.959337
Pierce,16,872,8435.055827
Pierce,17,4507,12463.99019
Pierce,19,109,1244.305989
Pierce,2,471,3260.033675
Pierce,20,50,712.2258269
Pierce,21,437,4366.437613
Pierce,22,2378,8393.242854
Pierce,24,389,3685.152795
Pierce,26,1720,8753.122829
Pierce,27,221,2539.897553
Pierce,28,1864,10268.48036
Pierce,29,136,1370.907362
Pierce,31,159,1660.916918
Pierce,34,168,1749.510051
Pierce,36,760,3607.473411
Pierce,37,486,3003.265174
Pierce,38,9,128.140643
Pierce,39,1300,4883.090288
Pierce,40,543,4553.315428
Pierce,41,153,1438.604088
Pierce,42,1695,6468.595026
Pierce,45,1409,6263.605144
Pierce,47,126,1067.599297
Pierce,48,1975,8139.298914
Pierce,49,102,1104.889143
Pierce,5,293,2208.520877
Pierce,51,473,2740.126426
Pierce,53,11354,18403.43086
Pierce,55,143,1440.080485
Pierce,6,2601,5304.376
Pierce,8,646,3375.639083
Pierce,9,189,1954.914706
Pierce,Antigua and Barbuda,92,1035.748552
Pierce,Barbados,149,1570.238151
Pierce,Belize,444,3922.827537
Pierce,Bermuda,536,3380.697168
Pierce,"Caribbean, Not Specified",11,161.9995131
Pierce,Cuba,235,2081.859352
Pierce,"Eastern Africa, Not Specified",164,1591.318874
Pierce,Ethiopia,810,4681.650955
Pierce,Germany,841,4909.576289
Pierce,Jamaica,319,2193.881927
Pierce,Japan,338,3309.451438
Pierce,Kenya,3888,11936.63426
Pierce,Liberia,567,4722.501085
Pierce,Nigeria,341,3607.112099
Pierce,Somalia,294,2229.868099
Pierce,Trinidad and Tobago,152,1374.63281
Pierce,Uganda,377,3173.911849
Pierce,"Western Africa, Not Specified",65,728.619321
Snohomish,1,215,1331.019555
Snohomish,11,276,3429.239989
Snohomish,12,265,2928.794168
Snohomish,13,598,5083.640835
Snohomish,17,183,1408.221416
Snohomish,22,722,3951.56559
Snohomish,25,667,5587.755349
Snohomish,26,402,2521.20312
Snohomish,27,430,4362.239755
Snohomish,28,377,2670.45839
Snohomish,29,341,2532.366958
Snohomish,35,241,2536.135184
Snohomish,36,306,2357.585942
Snohomish,37,235,1763.673384
Snohomish,39,21,308.0929542
Snohomish,45,87,876.8176371
Snohomish,47,170,1661.067453
Snohomish,48,577,2742.874352
Snohomish,5,151,1142.733323
Snohomish,51,76,766.7922722
Snohomish,53,5574,10411.7661
Snohomish,6,1600,6959.939227
Snohomish,72,80,864.3192243
Snohomish,Brazil,100,1286.266514
Snohomish,Canada,212,1591.777558
Snohomish,Democratic Republic of Congo (Zaire),320,2316.559795
Snohomish,Eritrea,1329,9712.467239
Snohomish,Ethiopia,3582,11331.13456
Snohomish,Gambia,2232,10174.93166
Snohomish,Haiti,51,567.7041337
Snohomish,Ivory Coast (2017 or later),567,3627.740229
Snohomish,Jamaica,498,3422.240146
Snohomish,Kenya,72,786.3335734
Snohomish,Liberia,77,921.9098671
Snohomish,Mexico,307,2613.60308
Snohomish,Nigeria,587,3661.235317
Snohomish,Sierra Leone,130,1269.412297
Snohomish,Somalia,75,856.5516738
Region,1,1150,4641.906445
Region,10,381,3381.799946
Region,11,949,9821.642957
Region,12,4795,12063.73874
Region,13,6421,25074.0396
Region,15,299,2149.959337
Region,16,1068,10106.12505
Region,17,9542,18562.82324
Region,18,1363,8423.862389
Region,19,202,2123.560567
Region,2,602,3818.693784
Region,20,155,1346.415819
Region,21,797,5506.042995
Region,22,11309,28833.87623
Region,24,2484,8901.779613
Region,25,869,5993.120228
Region,26,3228,10809.92027
Region,27,1091,8324.048442
Region,28,4872,15365.68266
Region,29,927,4245.228827
Region,31,226,1801.225499
Region,32,224,2415.576444
Region,34,970,3888.277126
Region,35,241,2536.135184
Region,36,2237,6097.898535
Region,37,854,3961.853702
Region,38,9,128.140643
Region,39,2482,8783.987606
Region,4,217,1869.201202
Region,40,2587,22072.33431
Region,41,702,5107.285838
Region,42,3140,10504.22292
Region,45,1691,6707.531706
Region,46,76,859.500615
Region,47,2011,9984.433857
Region,48,8027,17473.66635
Region,49,189,1974.098698
Region,5,1245,4605.352236
Region,51,1443,6227.136528
Region,53,47197,32763.13928
Region,54,1037,7377.15935
Region,55,143,1440.080485
Region,6,11200,11675.02236
Region,72,80,864.3192243
Region,8,734,3764.955131
Region,9,189,1954.914706
Region,Africa,75,862.9404087
Region,Antigua and Barbuda,92,1035.748552
Region,Barbados,149,1570.238151
Region,Belize,444,3922.827537
Region,Bermuda,568,3420.172922
Region,Brazil,116,1331.395361
Region,Canada,398,3165.046197
Region,"Caribbean, Not Specified",11,161.9995131
Region,Congo,511,4454.222729
Region,Cuba,235,2081.859352
Region,Democratic Republic of Congo (Zaire),850,4672.046468
Region,"Eastern Africa, Not Specified",402,3313.084724
Region,England,159,1581.975298
Region,Eritrea,6253,18802.15088
Region,Ethiopia,19468,33103.892
Region,Gambia,3660,15325.06946
Region,Germany,1378,8891.916383
Region,Ghana,440,1923.554744
Region,Greece,94,983.2495398
Region,Haiti,2397,10231.06019
Region,Ivory Coast (2017 or later),1330,8164.242133
Region,Jamaica,2402,9733.384765
Region,Japan,338,3309.451438
Region,Kenya,10459,20266.59738
Region,Liberia,3632,19350.43627
Region,Mexico,1112,5595.177205
Region,Morocco,1331,6209.124508
Region,Nigeria,1716,6583.741096
Region,"Other Africa, Not Specified",141,1359.131513
Region,Peru,11,157.1444315
Region,Russia,161,1682.774417
Region,Saudi Arabia,149,1550.736012
Region,Sierra Leone,625,5119.647111
Region,Somalia,6335,18415.24524
Region,South Sudan (2017 or later),107,1110.272396
Region,Togo,128,1180.922861
Region,Trinidad and Tobago,408,2396.776149
Region,Uganda,811,4390.680221
Region,"Western Africa, Not Specified",1992,9532.975329
Region,Zimbabwe,75,860.7415146
Region,Total,212618,68394.20054
